,time,median_length,median_delay,median_speed_kmh,total_records,median_level,Year,Month,Date_no,Hour,Day,level
257,2022-07-13 17:00:00,2079.0,69.0,34.78,9,1.0,2022,7,13,17,4,1
258,2022-07-13 18:00:00,2012.0,79.0,29.5,11,1.0,2022,7,13,18,4,1
259,2022-07-13 18:00:00,1698.0,294.0,15.025,8,2.0,2022,7,13,18,4,2
260,2022-07-13 18:00:00,2012.0,302.5,15.61,8,3.0,2022,7,13,18,4,3
261,2022-07-13 19:00:00,181.0,84.5,5.0,6,2.0,2022,7,13,19,4,2
262,2022-07-13 19:00:00,181.0,89.5,4.815,10,3.0,2022,7,13,19,4,3
263,2022-07-13 19:00:00,658.0,66.0,17.98,11,2.0,2022,7,13,19,4,2
264,2022-07-13 20:00:00,1124.0,115.5,19.205,8,2.0,2022,7,13,20,4,2
265,2022-07-13 20:00:00,316.0,83.0,9.33,10,3.0,2022,7,13,20,4,3
266,2022-07-13 21:00:00,1132.0,134.0,13.98,1,3.0,2022,7,13,21,4,3
267,2022-07-13 21:00:00,1986.0,96.5,25.635,10,2.0,2022,7,13,21,4,2
268,2022-07-13 21:00:00,1045.0,95.0,17.79,3,1.0,2022,7,13,21,4,1
269,2022-07-13 21:00:00,1952.0,155.0,20.14,9,2.0,2022,7,13,21,4,2
270,2022-07-13 21:00:00,1167.0,175.0,17.76,1,3.0,2022,7,13,21,4,3
271,2022-07-13 21:00:00,1535.0,72.0,27.76,1,1.0,2022,7,13,21,4,1
272,2022-07-14 00:00:00,738.0,169.0,20.65,1,1.0,2022,7,14,0,5,1
273,2022-07-14 06:00:00,561.0,77.0,11.3,2,3.0,2022,7,14,6,5,3
274,2022-07-14 06:00:00,1177.0,64.0,28.57,11,1.0,2022,7,14,6,5,1
275,2022-07-14 07:00:00,2194.0,84.5,27.904999,10,1.0,2022,7,14,7,5,1
276,2022-07-14 08:00:00,935.0,121.0,18.75,10,3.0,2022,7,14,8,5,3
277,2022-07-14 09:00:00,4001.0,152.0,34.620003,6,1.0,2022,7,14,9,5,1
278,2022-07-14 09:00:00,486.0,77.0,12.92,1,3.0,2022,7,14,9,5,3
279,2022-07-14 09:00:00,561.0,91.0,10.36,11,3.0,2022,7,14,9,5,3
280,2022-07-14 10:00:00,1780.0,212.0,17.53,11,2.0,2022,7,14,10,5,2
281,2022-07-14 10:00:00,1271.0,75.0,23.33,3,1.0,2022,7,14,10,5,1
282,2022-07-14 10:00:00,486.0,76.0,13.07,7,3.0,2022,7,14,10,5,3
